id,warehouse_block,mode_of_shipment,customer_care_calls,customer_rating,cost_of_shipping,prior_purchases,product_importance,gender,discount_offered(%),weight_in_gms,reached.on.time_y.n,customer_rating_category,on_time(str),loyalty_category
1,D,Flight,4,2,177,3,low,female,44,1233,1,Dissatisfied,delayed,Low Loyal
2,E,Flight,4,5,216,2,low,male,59,3088,1,Very Satisfied,delayed,Low Loyal
3,A,Flight,2,2,183,4,low,male,48,3374,1,Dissatisfied,delayed,Moderate Loyal
4,B,Flight,3,3,176,4,medium,male,10,1177,1,Neutral,delayed,Moderate Loyal
5,C,Flight,2,2,184,3,medium,female,46,2484,1,Dissatisfied,delayed,Low Loyal
6,E,Flight,3,1,162,3,medium,female,12,1417,1,Very dissatisfied,delayed,Low Loyal
7,D,Flight,3,4,250,3,low,female,3,2371,1,Satisfied,delayed,Low Loyal
8,E,Flight,4,1,233,2,low,female,48,2804,1,Very dissatisfied,delayed,Low Loyal
9,A,Flight,3,4,150,3,low,female,11,1861,1,Satisfied,delayed,Low Loyal
10,B,Flight,3,2,164,3,medium,female,29,1187,1,Dissatisfied,delayed,Low Loyal
11,C,Flight,3,4,189,2,medium,male,12,2888,1,Satisfied,delayed,Low Loyal
12,E,Flight,4,5,232,3,medium,female,32,3253,1,Very Satisfied,delayed,Low Loyal
13,D,Flight,3,5,198,3,medium,female,1,3667,1,Very Satisfied,delayed,Low Loyal
14,E,Flight,4,4,275,3,high,male,29,2602,1,Satisfied,delayed,Low Loyal
15,A,Flight,4,3,152,3,low,male,43,1009,1,Neutral,delayed,Low Loyal
16,B,Flight,4,3,227,3,low,female,45,2707,1,Neutral,delayed,Low Loyal
17,C,Flight,3,4,143,2,medium,female,6,1194,1,Satisfied,delayed,Low Loyal
18,E,Ship,5,5,227,3,medium,male,36,3952,1,Very Satisfied,delayed,Low Loyal
19,D,Ship,5,5,239,3,high,male,18,2495,1,Very Satisfied,delayed,Low Loyal
20,E,Ship,4,5,145,3,medium,male,45,1059,1,Very Satisfied,delayed,Low Loyal
21,A,Ship,3,3,161,2,medium,female,38,1521,1,Neutral,delayed,Low Loyal
22,B,Ship,3,1,232,4,medium,female,51,2899,1,Very dissatisfied,delayed,Moderate Loyal
23,C,Ship,2,5,156,2,low,male,2,1750,1,Very Satisfied,delayed,Low Loyal
24,E,Ship,4,3,211,3,high,male,12,3922,1,Neutral,delayed,Low Loyal
25,D,Ship,4,5,251,2,medium,female,28,3561,1,Very Satisfied,delayed,Low Loyal
26,E,Ship,3,1,225,4,low,male,29,3496,1,Very dissatisfied,delayed,Moderate Loyal
27,A,Ship,4,1,172,3,high,female,24,1066,1,Very dissatisfied,delayed,Low Loyal
28,B,Ship,5,1,162,3,medium,male,31,1435,1,Very dissatisfied,delayed,Low Loyal
29,C,Ship,2,3,234,4,low,male,44,3134,1,Neutral,delayed,Moderate Loyal
30,E,Ship,5,4,183,2,low,female,36,3819,1,Satisfied,delayed,Low Loyal
31,D,Ship,3,4,266,2,medium,female,38,2741,1,Satisfied,delayed,Low Loyal
32,E,Ship,5,3,257,2,low,female,61,3341,1,Neutral,delayed,Low Loyal
33,A,Ship,3,1,223,3,low,female,22,3795,1,Very dissatisfied,delayed,Low Loyal
